,Date,Settlement Price (yuan/ton),Highest Price,Lowest Price,Settlement Volume (ton),Turnover (yuan),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
0,2018-01-02,15.23,15.58,15.2,631,9598.68,-0.02869897959183665,2923,5964.195,484.5562,180.4815,5256.28,1.0059947839762615,0.9996387689427112,1.0029134705363276,1.0083487442352994
1,2018-01-03,15.29,15.4,15.11,2905,44144.67,0.003939592908732692,2924,5991.295,484.6262,180.8937,5289.92,1.0045437816838652,1.0001444620871636,1.0022838905926645,1.0063999634722656
2,2018-01-04,15.02,15.39,13.81,1090,16609.11,-0.01765860039241329,2925,6040.05,485.0252,180.8199,5312.33,1.0081376396922535,1.0008233149590344,0.999592025592931,1.0042363589619503
3,2018-01-05,14.7,15.39,13.6,8144,120422.4,-0.02130492676431428,2926,6079.084,484.2558,179.4927,5349.69,1.006462529283698,0.9984136906700931,0.9926600999115696,1.0070326956344955
4,2018-01-08,15.01,15.59,13.24,63244,843098.6,0.021088435374149617,2929,6082.959,483.9385,179.0567,5358.68,1.0006374315604127,0.999344767785951,0.9975709318540531,1.0016804712048737
5,2018-01-09,15.29,15.88,14.82,68,1030.33,0.01865423051299131,2930,6094.559,482.4828,179.8963,5367.26,1.0019069666588252,0.9969919731536135,1.0046890175011602,1.0016011405793963
6,2018-01-10,15.42,15.69,14.51,1009,14705.74,0.008502289077828795,2931,6095.9980000000005,483.5477,180.1904,5361.33,1.0002361122437244,1.0022071253109957,1.0016348307330392,0.998895153206664
7,2018-01-11,15.3,15.91,14.76,713,10860.71,-0.007782101167315147,2932,6122.974,484.2147,180.3337,5399.46,1.0044251983022303,1.0013793882175428,1.0007952698922915,1.0071120412285757
8,2018-01-12,15.33,15.99,14.6,153,2273.09,0.0019607843137254832,2933,6161.1359999999995,485.8057,181.261,5435.92,1.00623259220111,1.0032857325479791,1.005142133722094,1.0067525271045623
9,2018-01-15,15.19,15.2,14.49,6,90.45,-0.0091324200913242,2936,6185.496999999999,488.1343,181.261,5435.92,1.0039539786169303,1.0047932743481602,1.0,1.0
10,2018-01-16,15.34,15.98,14.96,1549,23237.95,0.00987491770901916,2937,6169.898,487.9661,180.6652,5416.86,0.9974781331233369,0.9996554226982205,0.9967130270714605,0.9964936937997615
11,2018-01-17,14.76,15.35,14.71,3182.0,47358.26,-0.03780964797913955,2938,6202.460999999999,487.7791,181.3781,5467.85,1.005277720960703,0.999616776657231,1.0039459729931386,1.0094132024826192
12,2018-01-18,14.98,15.35,14.75,4514.0,66780.19,0.014905149051490653,2939,6193.8009999999995,487.1504,181.1773,5459.5,0.9986037800157067,0.9987110968879149,0.9988929203691075,0.9984728915387218
13,2018-01-19,14.95,16.16,13.6,4109.0,60009.89,-0.0020026702269693164,2940,6223.968000000001,486.921,180.8743,5483.57,1.0048705148906143,0.9995290982004736,0.9983276050586911,1.004408828647312
14,2018-01-22,15.14,15.9,14.5,1090.0,15833.99,0.012709030100334529,2943,6262.519,487.2227,181.4407,5527.89,1.0061939585807638,1.0006196076981686,1.0031314564866318,1.0080823259300056
15,2018-01-23,15.07,16.55,15.03,3356.0,50593.65,-0.004623513870541607,2944,6288.113,488.6689,182.1574,5540.13,1.0040868538682277,1.0029682525054766,1.0039500508981722,1.0022142264046499
16,2018-01-24,14.99,15.04,14.32,31.0,458.43,-0.005308560053085554,2945,6294.585,490.4864,184.8365,5537.03,1.0010292435902473,1.0037192872310883,1.0147076100120007,0.9994404463433167
17,2018-01-25,14.99,16.48,14.01,800.0,11990.55,0.0,2946,6300.456999999999,492.866,184.8334,5540.38,1.0009328653120102,1.0048515106637004,0.9999832284207936,1.0006050174913266
18,2018-01-26,14.57,14.99,14.53,11683.0,174127.95,-0.028018679119412915,2947,6341.535,491.3893,185.5373,5606.08,1.0065198445128665,0.9970038509452873,1.0038082943883517,1.0118583923846378
