,Date,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Turnover (yuan),Settlement Volume (ton),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
0,2020-03-02,29.11,29.11,29.11,29.11,29.11,13507.0,464,-0.03449419568822554,3713,6496.5869999999995,524.019,154.5201,6288.64,1.033317337660489,1.0044681878824124,1.02115802099545,1.0460616162069822
1,2020-03-03,32.01,32.01,32.01,32.01,32.01,2560.8,80,0.09962212298179307,3714,6400.927,526.1759,156.0566,6112.07,0.9852753453467182,1.0041160721271556,1.0099436901736407,0.9719223870343985
2,2020-03-04,29.49,29.49,29.49,29.49,29.49,0.0,0,-0.07872539831302716,3715,6588.023,526.9108,156.1423,6370.35,1.0292295162872502,1.0013966812239026,1.0005491597279448,1.042257369434578
3,2020-03-05,32.43,32.43,32.43,32.43,32.43,3243.0,100,0.09969481180061046,3716,6440.969,528.5738,154.9835,6155.58,0.9776785843036674,1.0031561319297309,0.992578564552975,0.9662859968447572
4,2020-03-06,35.66,35.66,35.66,35.66,35.66,3566.0,100,0.09959913660191178,3717,6314.628000000001,534.5859,150.9587,6050.8,0.9803847837181021,1.0113741922130837,0.9740307839221595,0.9829780459355577
5,2020-03-09,35.78,35.78,35.78,35.78,35.78,27661.3,773,0.0033651149747617732,3720,5862.356,538.9731,144.6936,5591.74,0.9283770952144765,1.0082067259910896,0.9584979202921065,0.9241323461360481
6,2020-03-10,35.78,35.78,35.78,35.78,35.78,0.0,0,0.0,3721,6029.166,531.5222,147.784,5868.11,1.0284544302666028,0.9861757479176604,1.0213582356095916,1.0494246871277992
7,2020-03-11,32.2,32.2,32.2,32.2,32.2,6440.0,200,-0.10005589714924534,3722,5794.766,528.2103,145.6599,5581.76,0.9611223177467663,0.9937690278976117,0.9856269961565528,0.9512023462409533
8,2020-03-12,32.2,32.2,32.2,32.2,32.2,0.0,0,0.0,3723,5220.98,519.6413,141.1066,5051.97,0.9009820241231483,0.9837772947630897,0.9687401954827649,0.9050854927478071
9,2020-03-13,35.41,35.41,35.41,35.41,35.41,1770.5,50,0.09968944099378853,3724,5530.735,514.0993,139.276,5522.85,1.0593288999383257,0.9893349508593716,0.9870268293616318,1.0932072043183154
10,2020-03-16,38.0,38.0,38.0,38.0,38.0,380.0,10,0.07314317989268583,3727,5005.156,515.3382,133.4574,4861.22,0.9049712199192332,1.0024098457243573,0.9582225221861627,0.8802013453198982
11,2020-03-17,36.0,36.0,36.0,36.0,36.0,3420.0,95,-0.05263157894736848,3728,5211.462,506.6228,132.251,5152.83,1.041218695281426,0.9830879992983248,0.9909604113372507,1.059986999148362
12,2020-03-18,35.82,35.82,35.82,35.82,35.82,7523.04,210,-0.0050000000000000044,3729,4944.958,495.598,126.8581,4885.76,0.948861950830688,0.9782386422403414,0.9592222365048279,0.9481702287868997
13,2020-03-19,35.01,35.01,35.01,35.01,35.01,9172.62,262,-0.022613065326633208,3730,4981.854,491.7119,131.0129,4909.13,1.0074613373864856,0.9921587657738732,1.0327515546898465,1.0047832885774168
14,2020-03-20,35.69,35.69,35.69,35.69,35.69,16774.3,470,0.01942302199371615,3731,4854.303,494.7105,130.3159,4697.09,0.9743968811611098,1.006098286415277,0.9946799131993872,0.9568070106108414
15,2020-03-23,32.12,32.12,32.12,32.12,32.12,123116.0,3833,-0.100028019052956,3734,4710.78,496.8553,132.2568,4559.5,0.9704338604326924,1.0043354648829972,1.0148938080464471,0.9707073954299363
16,2020-03-24,32.12,32.12,25.63,25.63,25.63,124280.0,4849,-0.20205479452054784,3735,5124.2609999999995,498.2149,136.0065,4987.8,1.08777336237311,1.0027364103794405,1.0283516613134447,1.0939357385678254
17,2020-03-25,35.32,35.32,35.32,35.32,35.32,35358.9,1001,0.37807257120561855,3736,5251.88,499.2641,136.472,5045.35,1.024904859451929,1.0021059185504086,1.0034226305360407,1.0115381530935483
18,2020-03-26,35.32,37.32,25.97,25.97,37.32,30878.3,1189,-0.2647225368063421,3737,5515.939,506.7601,135.0656,5360.49,1.050278947729194,1.0150140977490671,0.9896945893663167,1.0624614744269474
19,2020-03-27,37.72,37.72,37.72,37.72,37.72,0.0,0,0.4524451289949942,3738,5373.875,510.4101,133.763,5179.92,0.9742448203288687,1.0072026191485872,0.990355797479151,0.9663146466087988
20,2020-03-30,40.36,40.36,40.36,40.36,40.36,47421.2,1175,0.06998939554612947,3741,5507.08,511.474,132.3753,5354.39,1.024787513665651,1.0020844023266782,0.9896256812421971,1.0336819873666003
21,2020-03-31,40.36,40.36,29.92,29.92,36.32,103330.0,2845,-0.2586719524281467,3742,5455.063,509.9988,131.9359,5269.2,0.9905545225418916,0.9971157869217204,0.99668064963781,0.9840896908891581
22,2020-04-01,37.69,37.69,37.69,37.69,37.69,21860.2,580,0.2596925133689838,3743,5244.805,510.5404,128.592,5036.64,0.9614563571493125,1.0010619632830509,0.9746551166134465,0.9558642678205421
23,2020-04-02,41.45,41.45,41.45,41.45,41.45,15751.0,380,0.09976120986999226,3744,5308.507,509.2771,131.2772,5152.47,1.0121457327774817,0.9975255631092075,1.020881547841234,1.022997474506814
24,2020-04-03,37.31,37.31,37.31,37.31,37.31,37.31,1,-0.09987937273823888,3745,5232.130999999999,508.0991,132.6578,5075.16,0.9856125272133953,0.9976869173972284,1.0105166776866052,0.9849955458255942
25,2020-04-07,40.88,40.88,40.88,40.88,40.88,16760.8,410,0.0956848030018762,3749,5580.41,508.1802,134.8425,5423.52,1.0072389529527621,1.0024195508227973,1.006393210031802,0.9984076345180656
26,2020-04-08,44.86,44.86,44.86,44.86,44.86,897.2,20,0.09735812133072397,3750,5713.853,508.6688,134.6888,5609.55,1.023912759098346,1.0009614699667557,0.9988601516584162,1.0343006018231702
27,2020-04-09,44.86,44.86,44.86,44.86,44.86,0.0,0,0.0,3751,5804.275,512.4361,135.3908,5691.54,1.0158250483517863,1.0074061943645847,1.0052120146589771,1.0146161456801348
28,2020-04-10,44.86,44.86,44.86,44.86,44.86,134.58,3,0.0,3752,5808.056,512.4616,135.3908,5691.54,1.0006514164129026,1.0000497623020703,1.0,1.0
29,2020-04-13,43.0,43.0,43.0,43.0,43.0,14835.0,345,-0.04146232724030319,3755,5763.334,513.5991,135.1981,5634.15,0.992300005371849,1.0022196785085946,0.9985767127456223,0.9899166130783583
30,2020-04-14,40.37,40.37,40.37,40.37,40.37,22445.7,556,-0.0611627906976745,3756,5911.101,515.1297,134.4888,5807.1,1.0256391526154827,1.0029801454091332,0.9947536244962022,1.0306967333138097
31,2020-04-15,36.34,36.34,36.34,36.34,36.34,72.68,2,-0.09982660391379727,3757,5773.9980000000005,515.3392,132.1739,5679.53,0.9768058437844321,1.0004066936928702,0.9827874142679539,0.9780320641972756
32,2020-04-16,33.33,33.33,33.33,33.33,33.33,6666.0,200,-0.08282883874518454,3758,5786.441999999999,514.9951,132.364,5712.6,1.002155179132379,0.999332284444886,1.0014382567208806,1.0058226649036102
33,2020-04-17,30.0,30.0,30.0,30.0,30.0,76650.0,2555,-0.09990999099909993,3759,5943.246,515.3022,132.4482,5865.9,1.0270985175346095,1.0005963163533012,1.0006361246260314,1.026835416447852
34,2020-04-20,32.99,32.99,32.99,32.99,32.99,13196.0,400,0.0996666666666668,3762,5874.101,514.6801,132.2049,5761.0,0.9883657852964524,0.9987927472461792,0.9981630554435621,0.9821169811964064
35,2020-04-21,36.0,36.0,36.0,36.0,36.0,180.0,5,0.09123976962715964,3763,5692.446999999999,513.9709,126.9362,5584.44,0.9690754380968253,0.9986220566911369,0.9601474680590507,0.9693525429612914
36,2020-04-22,36.0,36.0,36.0,36.0,36.0,0.0,0,0.0,3764,5798.823,513.2003,129.4404,5712.65,1.0186872183438864,0.9985006933271902,1.0197280208482689,1.0229584345073095
37,2020-04-23,39.0,39.0,39.0,39.0,39.0,3900.0,100,0.08333333333333326,3765,5817.275,514.7271,129.641,5710.04,1.0031820250419783,1.0029750567176208,1.001549747992126,0.9995431192178762
38,2020-04-24,39.0,39.0,39.0,39.0,39.0,0.0,0,0.0,3766,5856.72,515.1652,128.4981,5789.65,1.0067806662053969,1.0008511306282495,0.9911841161360989,1.0139421089869773
39,2020-04-27,35.1,35.1,35.1,35.1,35.1,5791.5,165,-0.09999999999999998,3769,5960.441,515.4144,127.0348,5874.94,1.0177097419716155,1.00048372832637,0.9886122829831726,1.0147314604509772
40,2020-04-28,36.42,36.42,36.42,36.42,36.42,21160.0,581,0.037606837606837695,3770,5963.01,516.6036,127.2242,5844.18,1.0004310083767292,1.0023072696455513,1.0014909300443657,0.994764201847168
41,2020-04-29,32.78,32.78,32.78,32.78,32.78,13898.7,424,-0.099945085118067,3771,6103.314,517.7244,127.7246,5999.74,1.0235290566341495,1.0021695551482799,1.00393321396401,1.0266179344236488
42,2020-04-30,36.0,36.0,36.0,36.0,36.0,360.0,10,0.09823062843197072,3772,6050.996999999999,520.0118,129.9062,5944.68,0.9914280995537833,1.0044181807927153,1.017080499762771,0.9908229356605454
43,2020-05-06,36.0,36.0,36.0,36.0,36.0,0.0,0,0.0,3778,5919.111,515.5634,131.1085,5815.17,0.9948237863805983,0.9962858855534861,0.9863974751065517,0.9930988902892626
44,2020-05-07,36.0,36.0,36.0,36.0,36.0,0.0,0,0.0,3779,5975.630999999999,515.891,132.2496,5884.14,1.0095487312199416,1.0006354213662179,1.0087034784167312,1.0118603583386212
45,2020-05-08,36.0,36.0,36.0,36.0,36.0,0.0,0,0.0,3780,6081.664000000001,515.6506,132.9422,5984.55,1.0177442348766184,0.9995340100912792,1.0052370668795976,1.0170645158001
46,2020-05-11,36.0,36.0,36.0,36.0,36.0,0.0,0,0.0,3783,6078.399,514.3944,131.7972,5985.66,0.9994631403510618,0.997563854284277,0.9913872344522656,1.0001854776048325
47,2020-05-12,32.4,32.4,32.4,32.4,32.4,3888.0,120,-0.10000000000000007,3784,6000.5740000000005,515.9578,131.306,5863.68,0.9871964640689103,1.0030393021385924,0.9962730619466879,0.9796212948947987
48,2020-05-13,32.4,32.4,32.4,32.4,32.4,0.0,0,0.0,3785,5895.943,515.9067,129.3234,5761.7,0.9825631681235828,0.9999009608925381,0.9849009184652642,0.9826081914429163
49,2020-05-14,32.4,32.4,32.4,32.4,32.4,0.0,0,0.0,3786,5901.3240000000005,515.774,130.7416,5829.33,1.0009126614690813,0.9997427829489325,1.010966306175062,1.0117378551469185
50,2020-05-15,32.4,32.4,32.4,32.4,32.4,0.0,0,0.0,3787,5927.186,515.3831,131.5352,5852.84,1.0043824063888034,0.9992421099163588,1.0060699884352036,1.004033053541316
51,2020-05-18,32.4,32.4,32.4,32.4,32.4,0.0,0,0.0,3790,6106.751,515.2587,134.4572,6037.9,1.0302951518646455,0.9997586261559605,1.0222145859055218,1.031618838034185
